id_ubigeo_prueba,Serológica,Antígena,Quimioluminiscencia
040101,272720,149716,7405
040102,92817,42327,1545
040103,104728,54980,2141
040104,195859,101294,3837
040105,10738,5550,272
040106,2877,1768,22
040107,62016,23377,1205
040108,13722,6044,164
040109,59546,24619,1142
040110,65357,27613,1144
040111,1836,1013,23
040112,147935,62492,3048
040113,262,77,36
040114,322,228,14
040115,1298,751,10
040116,4411,2099,104
040117,37662,17536,843
040118,217,101,2
040119,756,232,5
040120,158,29,4
040121,1577,676,9
040122,99137,35098,2010
040123,22099,7256,359
040124,20746,6649,307
040125,1560,876,13
040126,42702,21091,1156
040127,3496,1705,34
040128,23859,13136,241
040129,102643,46329,3317
040201,11752,5462,143
040202,1659,806,10
040203,1919,683,9
040204,2692,1297,10
040205,3489,1655,56
040206,3028,1141,15
040207,390,112,0
040208,6937,2989,69
040301,5041,1363,13
040302,1819,1378,5
040303,2866,640,6
040304,132,123,0
040305,846,893,3
040306,34,52,0
040307,3810,3239,11
040308,985,319,1
040309,758,496,4
040310,1454,812,1
040311,695,376,2
040312,147,54,2
040313,833,463,1
040401,7696,3706,23
040402,480,326,7
040403,152,59,1
040404,718,191,4
040405,253,286,1
040406,476,62,0
040407,1020,408,16
040408,293,46,0
040409,9227,8233,33
040410,1303,489,4
040411,310,138,0
040412,49,234,2
040413,2916,1479,20
040414,680,228,4
040501,5822,3652,28
040502,433,221,7
040503,1526,602,11
040504,640,249,1
040505,4202,2668,26
040506,541,300,0
040507,270,66,0
040508,301,131,0
040509,472,128,0
040510,726,260,1
040511,551,180,3
040512,277,153,1
040513,571,197,4
040514,274,169,2
040515,1000,239,3
040516,730,727,2
040517,111,70,0
040518,191,175,1
040519,1003,467,13
040520,40387,19503,407
040601,2566,1193,7
040602,94,56,0
040603,1512,1145,5
040604,212,59,0
040605,201,57,1
040606,6107,4487,31
040607,459,88,3
040608,2935,1133,14
040701,29369,11626,150
040702,5219,2221,66
040703,2778,1080,28
040704,6956,2654,12
040705,675,258,8
040706,2731,1358,28
040801,1779,844,4
040802,867,303,3
040803,198,25,0
040804,361,247,0
040805,141,78,3
040806,463,253,0
040807,115,38,0
040808,87,44,0
040809,270,99,2
040810,100,90,0
040811,108,55,1
050101,63461,26748,88
050102,343,186,0
050103,444,196,0
050104,6876,2482,3
050105,265,119,0
050106,205,283,0
050107,409,150,0
050108,694,194,1
050109,45,32,0
050110,15357,6472,23
050111,44,27,0
050112,698,272,0
050113,222,124,0
050114,1243,403,0
050115,5554,3145,3
050116,7139,1644,11
050201,2526,1174,0
050202,825,589,5
050203,2142,1517,1
050204,581,331,1
050205,222,130,0
050206,249,65,0
050301,1002,539,0
050302,221,130,0
050303,308,168,0
050304,505,249,0
050401,15289,7034,4
050402,236,126,1
050403,176,51,0
050404,207,83,0
050405,1998,1300,0
050406,366,246,0
050407,2165,1219,3
050408,2854,1053,2
050409,419,71,0
050410,113,56,0
050411,67,9,0
050412,141,24,0
050501,4994,2079,0
050502,1600,664,0
050503,3858,1696,0
050504,489,246,0
050505,591,703,1
050506,125,26,1
050507,1981,1514,1
050508,1856,821,1
050509,1473,619,0
050510,467,128,0
050511,70,11,0
050601,8899,3461,0
050602,516,275,4
050603,198,71,1
050604,470,270,0
050605,1353,486,0
050606,513,332,0
050607,414,579,0
050608,769,524,0
050609,111,33,0
050610,228,117,0
050611,541,249,0
050612,725,423,0
050613,378,203,0
050614,61,43,0
050615,241,111,0
050616,112,29,0
050617,474,190,0
050618,40,11,0
050619,1869,938,0
050620,127,12,0
050621,123,58,0
050701,6739,3047,4
050702,465,339,0
050703,2103,3433,2
050704,175,134,0
050705,851,326,0
050706,510,88,0
050707,113,190,0
050708,375,53,0
050801,2069,983,0
050802,214,69,0
050803,121,19,0
050804,380,299,0
050805,452,234,0
050806,5331,7310,4
050807,93,27,0
050808,155,217,0
050809,145,22,0
050810,166,20,0
050901,1736,1131,8
050902,10,4,0
050903,84,60,0
050904,247,43,0
050905,45,25,0
050906,183,116,0
050907,44,58,0
050908,87,51,0
050909,112,29,0
050910,44,52,0
050911,228,203,0
051001,955,414,0
051002,210,78,0
051003,83,84,0
051004,73,16,0
051005,2199,2799,4
051006,164,70,0
051007,159,34,0
051008,112,63,0
051009,216,54,0
051010,279,213,0
051011,410,207,0
051012,75,29,0
051101,1533,1094,0
051102,93,68,0
051103,50,54,0
051104,379,48,0
051105,78,34,0
051106,94,21,0
051107,119,30,0
051108,443,233,0
060101,202544,247036,2429
060102,275,271,3
060103,118,188,2
060104,248,177,0
060105,10127,4448,10
060106,1469,1507,16
060107,655,666,2
060108,12207,13382,161
060109,1202,922,2
060110,364,322,1
060111,745,566,6
060112,510,362,1
060201,12526,11308,684
060202,3470,3211,280
060203,1022,1326,59
060204,760,613,3
060301,6674,3809,21
060302,45,26,0
060303,267,89,0
060304,408,187,0
060305,47,49,0
060306,427,295,5
060307,178,204,4
060308,119,129,0
060309,419,355,5
060310,385,419,0
060311,91,27,0
060312,283,62,2
060401,15583,7945,32
060402,440,81,0
060403,289,164,1
060404,600,155,1
060405,467,282,1
060406,218,126,6
060407,1314,668,1
060408,891,522,2
060409,1135,561,6
060410,1485,526,2
060411,2182,1298,13
060412,354,81,0
060413,486,245,1
060414,484,96,2
060415,1608,1628,5
060416,261,46,2
060417,1350,620,7
060418,325,162,0
060419,622,184,1
060501,1431,1100,8
060502,869,780,6
060503,75,77,1
060504,111,74,0
060505,403,127,1
060506,96,63,0
060507,174,202,0
060508,1806,1629,25
060601,15359,5764,33
060602,737,285,3
060603,186,57,0
060604,127,74,1
060605,239,133,0
060606,329,160,0
060607,686,250,4
060608,306,155,0
060609,139,17,0
060610,516,162,0
060611,351,158,3
060612,575,172,0
060613,529,280,0
060614,1212,421,3
060615,98,96,1
060701,12952,11112,30
060702,888,1630,0
060703,2978,4901,23
060801,45691,12284,431
060802,3851,2067,10
060803,457,305,1
060804,694,600,2
060805,579,344,3
060806,442,107,0
060807,1048,294,3
060808,2014,1068,6
060809,509,195,0
060810,514,321,0
060811,679,347,1
060812,834,760,6
060901,9432,5062,24
060902,1386,728,1
060903,2865,1931,14
060904,2077,874,6
060905,1728,843,2
060906,2310,1558,2
060907,936,394,2
061001,3867,1785,29
061002,238,155,1
061003,271,154,4
061004,318,163,0
061005,302,201,1
061006,140,106,0
061007,893,251,2
061101,2966,2696,18
061102,152,51,0
061103,369,508,4
061104,373,487,6
061105,369,160,2
061106,530,198,0
061107,547,633,1
061108,269,193,0
061109,256,135,2
061110,131,74,2
061111,341,316,0
061112,838,913,0
061113,323,100,7
061201,3814,2817,9
061202,647,302,0
061203,203,115,0
061204,365,342,1
061301,1935,1214,2
061302,81,41,0
061303,513,365,3
061304,221,125,0
061305,72,38,0
061306,114,28,2
061307,1957,3123,6
061308,56,43,0
061309,126,43,0
061310,84,13,0
061311,117,59,1
070101,369541,178383,3338
070102,51076,26862,640
070103,29722,13392,286
070104,36214,21129,480
070105,4047,1981,53
070106,162663,67273,1113
070107,17394,6974,96
080101,131932,83099,410
080102,790,230,0
080103,3699,1981,2
080104,43946,19919,76
080105,70232,38112,186
080106,66705,31642,94
080107,3849,1775,7
080108,81460,47679,222
080201,2504,773,4
080202,402,223,1
080203,226,95,0
080204,139,130,0
080205,1334,618,1
080206,204,273,0
080207,1909,979,0
080301,8138,4061,4
080302,1366,1005,0
080303,1304,644,6
080304,815,333,0
080305,1680,512,4
080306,3200,1446,14
080307,791,660,0
080308,922,445,0
080309,907,443,5
080401,8285,5162,14
080402,716,286,0
080403,1284,635,0
080404,600,332,0
080405,1911,1219,5
080406,1414,689,1
080407,1007,465,3
080408,1580,1167,0
080501,2147,1903,5
080502,753,490,0
080503,650,1105,5
080504,339,331,0
080505,1279,572,7
080506,350,267,0
080507,297,207,1
080508,291,236,0
080601,25782,18145,51
080602,1239,849,1
080603,1445,1191,0
080604,2050,1326,18
080605,1313,756,1
080606,702,412,0
080607,788,566,1
080608,1383,912,9
080701,4779,5213,13
080702,700,568,1
080703,1093,1105,1
080704,563,732,2
080705,1419,1455,2
080706,534,242,0
080707,438,320,1
080708,4463,4601,39
080801,31757,39391,211
080802,171,110,1
080803,1322,1079,7
080804,277,184,0
080805,1545,1457,4
080806,998,664,2
080807,918,540,0
080808,202,146,1
080901,33246,17194,46
080902,19538,9095,7
080903,1781,613,1
080904,2368,1282,0
080905,1182,314,1
080906,4033,1923,1
080907,4428,3739,2
080908,1386,879,5
080909,2868,728,1
080910,5626,3448,12
080911,731,269,0
080912,108,83,0
080913,178,150,0
080914,4411,660,0
081001,1661,1047,1
081002,1582,796,2
081003,515,166,1
081004,204,86,1
081005,842,514,8
081006,383,312,1
081007,709,348,1
081008,492,119,4
081009,788,690,1
081101,2747,1725,4
081102,337,136,1
081103,826,933,2
081104,653,504,2
081105,826,750,0
081106,1585,932,1
081201,6505,3170,19
081202,2407,1369,5
081203,807,614,2
081204,481,172,2
081205,2053,1322,3
081206,1087,769,6
081207,1319,506,1
081208,1757,1375,2
081209,736,388,3
081210,3294,2100,3
081211,4303,2089,4
081212,2202,973,2
081301,8898,6357,21
081302,3279,1461,1
081303,1368,678,3
081304,3035,911,4
081305,899,516,0
081306,2989,1536,4
081307,883,512,0
090101,43437,21838,131
090102,268,371,121
090103,2405,3104,12
090104,171,94,0
090105,67,98,0
090106,882,668,2
090107,40,26,0
090108,271,166,0
090109,44,84,0
090110,118,138,0
090111,109,116,0
090112,282,255,0
090113,512,672,3
090114,307,280,0
090115,174,58,0
090116,140,127,0
090117,3875,3406,28
090118,7724,4091,10
090119,1046,886,22
090201,6354,2147,13
090202,439,101,2
090203,1413,600,0
090204,326,222,2
090205,176,230,0
090206,4409,1368,0
090207,390,353,0
090208,547,483,4
090301,16470,10629,44
090302,1097,724,3
090303,116,48,0
090304,4203,5740,6
090305,47,42,0
090306,844,166,2
090307,145,46,0
090308,122,65,0
090309,181,109,0
090310,77,29,0
090311,43,40,0
090312,860,359,0
090401,1524,557,0
090402,202,80,0
090403,184,65,0
090404,58,23,0
090405,88,37,2
090406,55,37,0
090407,268,171,0
090408,64,16,0
090409,98,52,0
090410,30,19,0
090411,507,221,2
090412,175,61,0
090413,680,144,0
090501,3416,1481,1
090502,1422,781,0
090503,351,152,0
090504,251,189,1
090505,161,173,1
090506,656,270,0
090507,1853,737,1
090508,334,176,0
090509,1173,672,0
090510,389,170,0
090511,424,234,0
090601,1932,987,1
090602,341,157,0
090603,753,261,3
090604,33,19,0
090605,74,24,0
090606,237,234,11
090607,1003,595,1
090608,477,289,0
090609,161,62,0
090610,140,76,0
090611,268,108,0
090612,314,16,1
090613,890,368,0
090614,49,22,0
090615,72,26,0
090616,305,113,0
090701,8594,4626,24
090702,690,493,0
090703,1002,855,0
090704,759,514,0
090705,2443,1211,6
090706,3714,1677,4
090707,494,184,0
090709,529,253,1
090710,233,199,1
090711,735,591,4
090713,129,164,0
090714,896,583,2
090715,380,223,0
090716,430,282,1
090717,1026,494,0
090718,818,344,0
090719,495,297,0
090720,550,297,0
090721,125,44,0
090722,167,187,0
090723,84,20,0
100101,58571,30524,163
100102,36648,18241,78
100103,2611,1572,2
100104,1058,427,0
100105,712,193,0
100106,1068,458,1
100107,767,452,3
100108,193,112,0
100109,2337,1882,2
100110,380,204,0
100111,24770,14922,107
100112,540,148,0
100113,658,471,0
100201,6542,7440,52
100202,673,171,0
100203,474,75,2
100204,915,588,5
100205,1528,1043,1
100206,478,112,0
100207,1298,1053,6
100208,857,756,14
100301,3149,1088,0
100307,584,207,1
100311,492,238,1
100313,959,462,0
100316,498,148,0
100317,937,329,1
100321,157,47,0
100322,212,128,0
100323,287,41,0
100401,1785,649,0
100402,562,213,0
100403,225,33,0
100404,795,302,0
100501,5733,2325,3
100502,355,36,0
100503,809,365,0
100504,654,270,0
100505,45,12,1
100506,828,151,0
100507,1825,928,0
100508,712,85,0
100509,643,191,0
100510,417,188,0
100511,335,141,1
100601,25462,12815,22
100602,743,423,1
100603,543,199,0
100604,3859,1910,11
100605,1892,1149,0
100606,1379,695,2
100607,290,94,0
100608,1987,1017,2
100609,415,265,0
100610,113,39,0
100701,3024,777,3
100702,456,223,0
100703,589,43,0
100704,523,216,0
100705,33,29,0
100801,2991,1143,2
100802,1323,415,0
100803,1194,892,0
100804,1261,724,1
100901,11021,8191,157
100902,1844,753,0
100903,2238,550,0
100904,1000,480,0
100905,2107,325,0
101001,1375,747,29
101002,627,271,0
101003,157,164,7
101004,184,31,0
101005,858,288,0
101006,243,19,0
101007,4474,1591,414
101101,1184,482,1
101102,155,37,0
101103,131,19,1
101104,579,282,1
101105,318,47,0
101106,724,212,0
101107,684,43,0
101108,405,153,0
110101,146053,70333,657
110102,14993,6702,65
110103,6891,3470,38
110104,1712,707,6
110105,3014,764,1
110106,24094,10131,132
110107,4352,2216,32
110108,7800,2878,9
110109,2065,996,2
110110,3436,1898,33
110111,6681,2790,15
110112,11182,4910,55
110113,2297,711,0
110114,600,143,0
110201,47569,23475,243
110202,2792,1396,17
110203,1895,3703,24
110204,5553,2397,10
110205,3498,1322,17
110206,8822,5005,50
110207,16839,8343,93
110208,253,84,7
110209,168,24,0
110210,14324,9898,73
110211,3373,1156,20
110301,26536,11636,242
110302,1251,673,4
110303,1934,693,4
110304,42981,23216,2227
110305,10957,5578,129
110401,10694,3903,13
110402,1198,525,0
110403,2410,768,1
110404,367,158,0
110405,175,35,0
110501,66932,29385,809
110502,911,141,7
110503,1982,777,2
110504,3317,1606,13
110505,5179,1717,79
110506,8973,4080,61
110507,12044,5055,122
110508,10076,3564,228
120101,113864,98035,956
120104,59,51,1
120105,271,193,2
120106,368,106,0
120107,43982,37661,401
120108,637,173,2
120111,700,485,17
120112,209,148,0
120113,227,82,1
120114,107881,92872,1118
120116,357,179,0
120117,2462,3043,29
120119,5860,5928,86
120120,208,193,2
120121,3618,3319,42
120122,932,1340,28
120124,402,337,3
120125,10816,11567,122
120126,1328,872,4
120127,628,878,8
120128,1936,2958,48
120129,7024,7924,132
120130,5700,7549,76
120132,2241,2443,36
120133,5854,5312,57
120134,3887,3239,31
120135,358,132,1
120136,917,512,5
120201,9205,9339,114
120202,288,185,5
120203,190,148,1
120204,320,394,5
120205,51,75,0
120206,3057,1352,10
120207,207,310,5
120208,292,295,9
120209,225,189,2
120210,1420,1691,10
120211,306,236,0
120212,592,407,4
120213,1306,1304,20
120214,1316,1051,2
120215,749,1025,5
120301,15261,11252,44
120302,11980,6897,11
120303,12530,5763,10
120304,485,687,1
120305,10173,12957,66
120306,713,1408,6
120401,10804,8816,79
120402,1282,1231,15
120403,1241,1628,10
120404,432,463,0
120405,844,487,9
120406,260,266,4
120407,700,1060,8
120408,478,814,7
120409,472,346,3
120410,535,481,5
120411,114,126,0
120412,134,217,4
120413,240,304,4
120414,805,237,3
120415,202,206,0
120416,868,730,2
120417,125,95,5
120418,234,242,1
120419,877,450,1
120420,369,421,8
120421,645,619,5
120422,304,340,11
120423,638,666,10
120424,572,376,1
120425,267,301,2
120426,107,173,0
120427,265,103,0
120428,1079,1055,14
120429,237,150,0
120430,1137,963,6
120431,471,395,3
120432,212,227,2
120433,679,599,2
120434,3309,3132,41
120501,7870,19084,97
120502,1788,2102,29
120503,477,431,0
120504,706,945,9
120601,22007,8632,14
120602,2007,1011,0
120603,206,100,0
120604,6464,3757,1
120605,991,280,1
120606,23375,10190,12
120607,6023,2333,5
120608,7327,840,18
120609,275,50,0
120701,25007,29737,475
120702,1437,1717,16
120703,349,366,3
120704,617,653,13
120705,5695,8255,11
120706,1047,1468,8
120707,463,473,4
120708,541,757,5
120709,129,180,0
120801,14136,9766,196
120802,253,133,0
120803,212,918,1
120804,183,137,0
120805,6014,4275,77
120806,848,558,9
120807,284,263,3
120808,3727,2443,42
120809,135,398,2
120810,2578,2016,10
120901,14734,13856,122
120902,2893,2791,18
120903,1407,1372,17
120904,1349,1217,14
120905,4837,2471,13
120906,637,756,15
120907,910,1091,8
120908,650,655,5
120909,808,364,4
130101,281224,174636,10529
130102,40430,24631,655
130103,18819,10639,276
130104,28066,13980,429
130105,63038,32413,1120
130106,15135,6589,226
130107,13596,9791,321
130108,1096,554,14
130109,8282,5034,107
130110,712,509,26
130111,27763,17572,811
130201,2945,1119,21
130202,3015,1552,25
130203,3065,652,16
130204,614,208,1
130205,5685,2834,53
130206,4499,2408,18
130207,4127,1785,48
130208,6479,1960,63
130301,1339,616,3
130302,329,176,0
130303,79,97,0
130304,106,84,0
130305,107,30,0
130306,49,6,0
130401,12515,7886,65
130402,2211,1522,7
130403,1549,1124,2
130501,1184,999,5
130502,362,257,0
130503,359,348,7
130504,210,214,0
130601,6915,3413,27
130602,1266,507,4
130604,360,104,2
130605,587,139,3
130606,160,12,0
130608,476,80,4
130610,110,8,0
130611,690,205,3
130613,702,166,6
130614,1582,632,16
130701,4095,3287,47
130702,6604,6013,85
130703,513,455,8
130704,10360,9077,135
130705,1292,1196,10
130801,3742,2072,26
130802,689,390,0
130803,828,741,20
130804,344,248,1
130805,216,213,4
130806,269,103,1
130807,120,27,0
130808,14564,7775,27
130809,2207,1792,17
130810,177,137,3
130811,83,24,0
130812,170,105,1
130813,144,64,0
130901,34068,36408,1176
130902,1916,1390,8
130903,599,490,3
130904,848,664,4
130905,800,770,5
130906,2159,1885,29
130907,811,822,2
130908,872,738,5
131001,5180,2324,41
131002,1376,779,4
131003,1177,548,3
131004,178,168,2
131005,181,283,0
131006,5973,5310,30
131007,322,164,6
131008,132,85,0
131101,4588,1805,20
131102,417,301,0
131103,383,227,5
131104,1126,438,4
131201,11623,5505,300
131202,8484,3445,318
131203,1306,781,11
140101,160680,88329,2413
140102,3319,1719,40
140103,3199,2235,11
140104,1468,1218,8
140105,37316,16093,312
140106,28422,14125,250
140107,2084,911,6
140108,8279,3409,59
140109,1540,1854,6
140110,2027,1292,10
140111,7356,2220,28
140112,13650,6889,111
140113,4922,2199,49
140114,5573,2623,16
140115,2812,979,21
140116,3885,2754,23
140117,4124,2526,12
140118,5462,2300,49
140119,1917,2038,10
140120,5988,2255,40
140201,16171,7057,75
140202,1871,236,6
140203,1418,376,4
140204,759,305,0
140205,3015,1324,22
140206,3364,1303,14
140301,27862,9898,197
140302,328,61,2
140303,2570,1155,22
140304,3945,1226,21
140305,3653,1871,13
140306,7880,3178,18
140307,6844,2368,23
140308,11003,5155,30
140309,1763,883,4
140310,1783,364,10
140311,4478,2295,64
140312,3781,1309,18
150101,698933,483551,15172
150102,26907,10818,210
150103,399294,198254,4780
150104,31909,22556,567
150105,100494,59464,1119
150106,149980,73166,1254
150107,35585,20152,405
150108,230616,120538,3227
150109,15041,7604,176
150110,316929,155735,2820
150111,143341,56261,1241
150112,126879,61622,1004
150113,923590,560074,13529
150114,131016,102970,2463
150115,161710,76903,1186
150116,68435,45776,732
150117,255965,157916,2655
150118,104940,56919,1312
150119,66278,35158,528
150120,66177,52340,1103
150121,80807,55275,1006
150122,119601,118012,3318
150123,64927,30997,761
150124,12636,5023,27
150125,169599,79654,1393
150126,6589,4571,101
150127,5101,2507,24
150128,104172,42199,816
150129,5271,3392,60
150130,131797,115077,3301
150131,117593,110913,4323
150132,600042,287382,6584
150133,264110,122253,4399
150134,51535,31638,646
150135,447504,240562,4630
150136,143458,95817,1942
150137,158410,75635,1776
150138,2514,1204,40
150139,7817,4490,40
150140,326948,250729,7426
150141,105552,73077,1366
150142,249347,118094,4130
150143,249102,141768,3726
150201,31355,19066,91
150202,9325,4319,19
150203,5341,2366,7
150204,7744,5335,8
150205,6760,4057,28
150301,682,417,1
150302,128,40,0
150303,186,130,0
150304,152,154,0
150305,222,184,6
150401,2301,1481,5
150402,295,79,0
150403,139,37,0
150404,170,216,0
150405,189,55,2
150406,258,141,0
150407,1640,991,2
150501,35557,17994,553
150502,5636,4100,42
150503,429,366,3
150504,3939,2161,18
150505,12987,5687,38
150506,165,64,0
150507,17312,8924,282
150508,2655,1767,9
150509,27864,25844,110
150510,9185,4079,74
150511,1054,366,1
150512,6869,3410,32
150513,3789,2286,55
150514,4967,3112,40
150515,1060,593,1
150516,1312,740,3
150601,44634,37805,147
150602,105,104,1
150603,113,31,0
150604,6026,2542,4
150605,30378,19759,181
150606,286,134,0
150607,149,33,0
150608,378,203,0
150609,329,151,2
150610,90,115,0
150611,34,30,0
150612,116,55,0
150701,2689,1968,6
150702,126,256,0
150703,257,494,4
150704,152,264,1
150705,2270,3097,65
150706,13,19,0
150707,69,162,0
150708,96,238,4
150709,1872,1482,12
150710,10,7,0
150711,82,71,0
150712,95,117,1
150713,79,60,0
150714,2748,3351,21
150715,61,111,0
150716,6299,4150,54
150717,332,396,0
150718,30,69,0
150719,76,151,0
150720,9,14,0
150721,144,139,0
150722,2372,2516,27
150723,1188,722,5
150724,122,359,0
150725,14,18,0
150726,1072,1495,6
150727,1157,937,17
150728,5003,4352,58
150729,16,25,0
150730,36,8,0
150731,717,506,3
150732,4160,5052,116
150801,47495,37042,199
150802,103,90,0
150803,2547,1831,21
150804,78,84,0
150805,8362,7075,46
150806,10061,7759,61
150807,79,64,0
150808,82,57,0
150809,112,127,0
150810,10017,7904,47
150811,4392,3709,33
150812,7395,5596,19
150901,7838,9063,134
150902,59,56,0
150903,37,14,3
150904,37,26,0
150905,183,30,0
150906,679,377,9
151001,1279,519,0
151002,227,149,1
151003,449,164,1
151004,80,81,0
151005,23,13,0
151006,134,28,0
151007,155,9,0
